time_elapsed,voltage,temperature,pH_uncorrected
0.346443892,-0.837654371,1,7.739497194
0.43774581,-0.847843341,1,7.745215354
0.515130997,-0.845296098,1,7.743785814
0.592514277,-0.850390583,1,7.746644894
0.668600082,-0.835107129,1,7.738067654
0.761487961,-0.847843341,1,7.745215354
0.837638378,-0.845296098,1,7.743785814
0.91550231,-0.840201614,1,7.740926734
0.994409084,-0.847843341,1,7.745215354
1.071007013,-0.842748856,1,7.742356274
1.148170233,-0.840201614,1,7.740926734
1.224429846,-0.847843341,1,7.745215354
1.301044464,-0.832559886,1,7.736638114
1.376203775,-0.863126795,1,7.753792594
1.453401566,-0.832559886,1,7.736638114
1.530377865,-0.840201614,1,7.740926734
1.608386755,-0.863126795,1,7.753792594
1.685699701,-0.830012644,1,7.735208574
1.762374163,-0.847843341,1,7.745215354
1.83853054,-0.837654371,1,7.739497194
1.916879177,-0.837654371,1,7.739497194
1.994453669,-0.852937825,1,7.748074434
2.086374044,-0.837654371,1,7.739497194
2.149595737,-0.81472919,1,7.726631334
2.226490974,-0.850390583,1,7.746644894
2.302836418,-0.855485068,1,7.749503974
2.379902363,-0.835107129,1,7.738067654
2.457526922,-0.85803231,1,7.750933514
2.534145117,-0.837654371,1,7.739497194
2.610235214,-0.840201614,1,7.740926734
2.687773943,-0.837654371,1,7.739497194
2.76404953,-0.827465402,1,7.733779034
2.840834856,-0.842748856,1,7.742356274
2.916615248,-0.840201614,1,7.740926734
2.992136002,-0.840201614,1,7.740926734
3.069224834,-0.842748856,1,7.742356274
3.146128654,-0.837654371,1,7.739497194
3.224161148,-0.852937825,1,7.748074434
3.302365541,-0.852937825,1,7.748074434
3.378992796,-0.85803231,1,7.750933514
3.455603361,-0.85803231,1,7.750933514
3.550867796,-0.812181947,1,7.725201794
3.627916813,-0.835107129,1,7.738067654
3.705469608,-0.837654371,1,7.739497194
3.783130407,-0.842748856,1,7.742356274
3.860249519,-0.827465402,1,7.733779034
3.93661809,-0.837654371,1,7.739497194
4.014946222,-0.822370917,1,7.730919954
4.090134144,-0.842748856,1,7.742356274
4.165930271,-0.822370917,1,7.730919954
4.242805004,-0.847843341,1,7.745215354
4.304098368,-0.830012644,1,7.735208574
4.380350828,-0.824918159,1,7.732349494
4.457692385,-0.845296098,1,7.743785814
4.534139395,-0.830012644,1,7.735208574
4.596145153,-0.830012644,1,7.735208574
4.674017668,-0.840201614,1,7.740926734
4.749755144,-0.824918159,1,7.732349494
4.840725899,-0.855485068,1,7.749503974
4.92017293,-0.852937825,1,7.748074434
4.997847795,-0.830012644,1,7.735208574
5.076148033,-0.832559886,1,7.736638114
5.154758215,-0.847843341,1,7.745215354
5.229799271,-0.824918159,1,7.732349494
5.306602478,-0.840201614,1,7.740926734
5.384351015,-0.809634705,1,7.723772254
5.461729765,-0.832559886,1,7.736638114
5.539672613,-0.845296098,1,7.743785814
5.618191004,-0.835107129,1,7.738067654
5.694097519,-0.832559886,1,7.736638114
5.77215004,-0.850390583,1,7.746644894
5.850980759,-0.827465402,1,7.733779034
5.927703142,-0.827465402,1,7.733779034
6.004491329,-0.845296098,1,7.743785814
6.08272171,-0.824918159,1,7.732349494
6.160314322,-0.850390583,1,7.746644894
6.254147053,-0.847843341,1,7.745215354
6.333198071,-0.817276432,1,7.728060874
6.410279274,-0.850390583,1,7.746644894
6.488474369,-0.845296098,1,7.743785814
6.565578461,-0.842748856,1,7.742356274
6.641241074,-0.852937825,1,7.748074434
6.717440367,-0.832559886,1,7.736638114
6.79439497,-0.852937825,1,7.748074434
6.871319771,-0.842748856,1,7.742356274
6.94764924,-0.847843341,1,7.745215354
7.023794651,-0.845296098,1,7.743785814
7.101240396,-0.845296098,1,7.743785814
7.176968098,-0.855485068,1,7.749503974
7.253423452,-0.832559886,1,7.736638114
7.331243038,-0.852937825,1,7.748074434
7.407948017,-0.850390583,1,7.746644894
7.485119581,-0.840201614,1,7.740926734
7.592731476,-0.832559886,1,7.736638114
7.669656277,-0.847843341,1,7.745215354
7.74723506,-0.822370917,1,7.730919954
7.823211908,-0.847843341,1,7.745215354
7.89943862,-0.830012644,1,7.735208574
7.976607561,-0.852937825,1,7.748074434
8.053561926,-0.850390583,1,7.746644894
8.133141041,-0.827465402,1,7.733779034
8.211732864,-0.819823675,1,7.729490414
8.288915157,-0.830012644,1,7.735208574
8.366113663,-0.827465402,1,7.733779034
8.442159653,-0.832559886,1,7.736638114
8.517909527,-0.824918159,1,7.732349494
8.580819607,-0.81472919,1,7.726631334
8.65812254,-0.840201614,1,7.740926734
8.733285427,-0.822370917,1,7.730919954
8.809895515,-0.819823675,1,7.729490414
8.888086557,-0.827465402,1,7.733779034
8.978329182,-0.850390583,1,7.746644894
9.055740833,-0.835107129,1,7.738067654
9.133417845,-0.827465402,1,7.733779034
9.210254669,-0.850390583,1,7.746644894
9.286922216,-0.830012644,1,7.735208574
9.350415468,-0.830012644,1,7.735208574
9.427421093,-0.824918159,1,7.732349494
9.505153418,-0.847843341,1,7.745215354
9.583390236,-0.827465402,1,7.733779034
9.660091639,-0.840201614,1,7.740926734
9.735155344,-0.81472919,1,7.726631334
9.813144445,-0.819823675,1,7.729490414
9.890355349,-0.832559886,1,7.736638114
9.966602802,-0.824918159,1,7.732349494
10.0437088,-0.840201614,1,7.740926734
10.12022018,-0.812181947,1,7.725201794
10.18224525,-0.822370917,1,7.730919954
10.25999165,-0.830012644,1,7.735208574
10.35418439,-0.819823675,1,7.729490414
10.431108,-0.812181947,1,7.725201794
10.50994635,-0.822370917,1,7.730919954
10.58566427,-0.80454022,1,7.720913174
10.66193843,-0.807087463,1,7.722342714
10.74062634,-0.827465402,1,7.733779034
10.8178277,-0.819823675,1,7.729490414
10.89282489,-0.81472919,1,7.726631334
10.97097015,-0.827465402,1,7.733779034
11.04955745,-0.812181947,1,7.725201794
11.12575555,-0.830012644,1,7.735208574
11.20345449,-0.840201614,1,7.740926734
11.28214717,-0.81472919,1,7.726631334
11.35865045,-0.842748856,1,7.742356274
11.43785453,-0.832559886,1,7.736638114
11.51665473,-0.822370917,1,7.730919954
11.59277797,-0.840201614,1,7.740926734
11.68665576,-0.827465402,1,7.733779034
11.76370335,-0.832559886,1,7.736638114
11.84061432,-0.840201614,1,7.740926734
11.92040038,-0.824918159,1,7.732349494
11.99819732,-0.827465402,1,7.733779034
12.07469487,-0.837654371,1,7.739497194
12.15050864,-0.81472919,1,7.726631334
12.22867417,-0.842748856,1,7.742356274
12.30461001,-0.812181947,1,7.725201794
12.38310051,-0.80454022,1,7.720913174
12.46208668,-0.807087463,1,7.722342714
12.53805351,-0.812181947,1,7.725201794
12.61625886,-0.81472919,1,7.726631334
12.69280362,-0.832559886,1,7.736638114
12.76940632,-0.807087463,1,7.722342714
12.84824538,-0.824918159,1,7.732349494
12.92512798,-0.827465402,1,7.733779034
13.00106072,-0.822370917,1,7.730919954
13.09548926,-0.827465402,1,7.733779034
13.17283988,-0.830012644,1,7.735208574
13.24957442,-0.81472919,1,7.726631334
13.32809854,-0.855485068,1,7.749503974
13.40627575,-0.835107129,1,7.738067654
13.48253036,-0.827465402,1,7.733779034
13.56007624,-0.845296098,1,7.743785814
13.63809776,-0.819823675,1,7.729490414
13.71434259,-0.847843341,1,7.745215354
13.79239202,-0.847843341,1,7.745215354
13.8699162,-0.827465402,1,7.733779034
13.94692969,-0.845296098,1,7.743785814
14.02431488,-0.847843341,1,7.745215354
14.1012342,-0.830012644,1,7.735208574
14.17877412,-0.845296098,1,7.743785814
14.25569367,-0.827465402,1,7.733779034
14.33343363,-0.827465402,1,7.733779034
14.44104314,-0.847843341,1,7.745215354
14.5191443,-0.827465402,1,7.733779034
14.59453583,-0.845296098,1,7.743785814
14.67216229,-0.832559886,1,7.736638114
14.74876809,-0.847843341,1,7.745215354
14.82511258,-0.850390583,1,7.746644894
14.90344691,-0.824918159,1,7.732349494
14.98122978,-0.824918159,1,7.732349494
15.05786347,-0.845296098,1,7.743785814
15.13455057,-0.819823675,1,7.729490414
15.21216178,-0.812181947,1,7.725201794
15.28873014,-0.830012644,1,7.735208574
15.36556292,-0.812181947,1,7.725201794
15.44437122,-0.840201614,1,7.740926734
15.52054095,-0.809634705,1,7.723772254
15.59837627,-0.80454022,1,7.720913174
15.67663002,-0.824918159,1,7.732349494
15.78479195,-0.832559886,1,7.736638114
15.86224651,-0.824918159,1,7.732349494
